ID,Status,Priority,Phase,Title,Description,Files,Dependencies,Acceptance Criteria,Notes
B5,Done,High,Backend core,"Implement compressor.ts: worker pool (2/4/8) over new Worker(worker.ts), round-robin dispatch, onFileDone progress callback, cancel flag, terminate in finally, results in original order",desktop-app/compressor.ts,,B4,"Pool honours threads setting; progress callbacks fire per file; cancel returns cancelled:true with partial results; workers terminated","Workers communicate via postMessage id/result; errors per-file"
B6,Done,High,Backend core,"Implement bindings.ts: register all bindings (pickFolder/scan/compress/cancelCompress/exportCsv/openFolder/loadSettings/saveSettings/getVersion/window controls), zod-validate every arg, wire into main.ts",desktop-app/bindings.ts; desktop-app/main.ts,,B2;B3;B5,"Every binding callable from webview; invalid args reject with zod error; pickFolder shows native prompt dialog","pickFolder uses Deno-side prompt() — WebView2 hides file paths"
C1,Done,Medium,Frontend wiring,"Create templates.js: Handlebars templates compiled at load — file rows, result rows, empty states",desktop-app/static/templates.js,,A3;B1,"Templates render from FileEntry[]/FileResult[]; escaping applied to names",""
C2,Done,High,Frontend wiring,"Implement app.js: Alpine workspace — scan, selection (select-all/invert/clear, survives filtering), search/type filter, skipSmall, compress with progress callbacks, results render, CSV export, open folder, settings debounce, Enter-to-rescan",desktop-app/static/app.js,,C1;B6,"End-to-end: browse -> scan -> select -> compress with 4 threads; progress updates; results match on-disk sizes; settings persist after debounce",""
C3,Done,Medium,Frontend wiring,"Window controls: titlebar min/max/close bindings + close-during-compression confirm guard (preventDefault + Deno-side confirm)",desktop-app/main.ts; desktop-app/static/app.js,,C2;B6,"Min/max/close work; close during job shows native confirm; confirm-cancel keeps app alive","Native window frame kept; design titlebar buttons wired to bindings"
C4,Done,Medium,Frontend wiring,"Status bar + header badge with real version/OS (v1.0.0 · windows) via getVersion()",desktop-app/static/app.js; desktop-app/static/index.html,,C2;B6,"Badge shows real version; status bar totals correct after runs",""
D1,Done,Medium,Polish & packaging,"Error states: scan errors count in UI, per-file failed rows, cancel UX (partial results + cancelled state), compress button aria-busy",desktop-app/static/app.js; desktop-app/static/templates.js,,C2,"Failed file renders failure row; status bar shows N failed; cancel leaves consistent state",""
D2,Done,Medium,Polish & packaging,"Generate design/app.ico (256px, sharp or generator) or omit icons; run deno task build (clean + dir + msi); verify outputs: dist/Compressy/ launcher + dist/Compressy-msi/Compressy.msi (OLE2-valid)",design/app.ico; desktop-app/deno.json; desktop-app/clean.ts,,D1,"Build succeeds; outputs exist: app dir + valid .msi; compiled exe launches; scan+compress works in compiled binary (deno#32198 gate)","Windows outputs are a directory + .msi (no single-file .exe). Caveat: denoland/deno#35645 — webview backend hides window when bind() used; try CEF backend or canary Deno (fix #35670)"
D3,Done,High,Polish & packaging,"Final smoke test: real mixed-format images (resize, overwrite, convert, lossless, strip) + full deno test pass",desktop-app/**,,D2,"All plan §11 checks green; deno test passes; tasks.csv fully checked off",""
E1,Done,High,Design v2,"Backend contracts: add renameOn/renamePrefix to CompressRequestSchema + AppSettingsSchema (defaults false/""), renamed?: boolean to FileResultSchema, mtime (epoch ms) to FileEntrySchema; settings.ts defaults + merge migration (old settings files keep working)",desktop-app/types.ts; desktop-app/settings.ts,,B1,"deno check passes; old settings.json loads with rename defaults; zod rejects renamePrefix > 24 chars","No schema break — partial settings merge over defaults"
E2,Done,High,Design v2,"Worker rename: outputPathFor/compressOne compute {prefix}-{NNNN}.{ext} when renameOn — 4-digit zero-padded counter starting 0001, keeps output extension, counter increments per renamed file in job order; set FileResult.renamed when output name differs from input",desktop-app/worker.ts,,E1;B4,"compressOne with renameOn produces photo-0001.jpg, photo-0002.jpg...; renamed flag true; overwrite:false + renameOn coexist (renamed file next to original)","Counter is per-job, not global"
E3,Done,High,Design v2,"Scanner mtime: include stat.mtime epoch ms in FileEntry for every scanned file",desktop-app/scanner.ts,,E1;B3,"scanFolder returns mtime > 0 for all files; scanner_test asserts mtime present","Drives Newest/Oldest sort"
E4,Done,High,Design v2,"Backend tests: rename counter/zero-padding/extension-kept, renamed flag, mtime in scan results; existing suites stay green",desktop-app/tests/compressor_test.ts; desktop-app/tests/scanner_test.ts,,E2;E3,"New tests pass; full deno test green",""
E5,Done,High,Design v2,"Frontend markup: port design v2 index.html — head stats into source card, More-settings collapse (header toggle + footer button), Options 2x2 grid band, Resize band (toggle + W x H), Rename band (toggle + prefix + live pattern), sort select, list/grid view toggle, statusbar engine line. No titlebar/window controls (user decision — native frame kept)",desktop-app/static/index.html,,A3;E1,"All design v2 sections present with data-od-id hooks; no demo JS","Design file untouched; markup ported"
E6,Done,High,Design v2,"Frontend styles: port design v2 CSS (bands, panel-toggle, view-toggle, thumbnails, gcard grid, rename-pattern pill, r-renamed badge, titlebar); trim demo-only bits",desktop-app/static/styles.css,,E5,"Visual parity with design v2; responsive rules intact",""
E7,Done,High,Design v2,"Frontend logic: app.js — settings sync/read for renameOn/renamePrefix, rename band live preview, sort state + visibleFiles() sort (name/size/mtime/type), view mode toggle + grid render, format-tinted thumbnails, renamed badge in results, settings collapse state; templates.js file row/grid card/result row updates",desktop-app/static/app.js; desktop-app/static/templates.js,,E5;E6;E2,"Sort orders match design; grid/list switch works; compress with renameOn shows renamed badge and on-disk names match {prefix}-{NNNN}.{ext}; collapse persists per session",""
E8,Done,High,Design v2,"Verification: deno task dev smoke — collapse toggles, rename preview, sort orders, grid/list switch, compress with rename on (badge + on-disk names), settings persist rename fields; deno test green",desktop-app/**,,E4;E7,"All Phase E acceptance criteria met; no console errors","Phase gate"
F1,Done,High,Design v3,"Layout restructure: split combined folder+settings panel into source card + settings-panel with compress-bar","Port design body structure: Card 1 source-card (Select folder and files head-stats folder-row toolbar file-list footer-actions) + Card 2 settings-panel (compress-bar with cb-quality format-seg Advanced toggle Delete+Compress; settings-bands with adv-grid engine/threads options-inline adv-grid resize/rename). Keep Alpine workspace root data-od-id hooks and all binding calls; no titlebar port (native frame kept per prior decision); design file untouched; keep real /thumb images (superior to design SVG placeholders)",desktop-app/static/index.html; desktop-app/static/styles.css; desktop-app/static/app.js,,E5;E6;E7,"Page order matches design (files card then settings panel then statusbar); Browse Rescan Compress Open-folder Invert Clear all still wired; no demo JS; no console errors","Graph: app_window_shell + folder_scan_pipeline + compression_request_pipeline stay intact; only DOM shells move"
F2,Done,High,Design v3,"Folder row: crumbs nav + edit toggle + Choose Folder + icon rescan","Replace path-input+pill row with design folder-row: crumbs nav (renderCrumbs from folder/scanRoot) + hidden path-input edit mode via mini-edit path-edit-btn + Choose Folder browse button + icon-only rescan button. Enter in input still rescans; hint text updates after scan",desktop-app/static/index.html; desktop-app/static/styles.css; desktop-app/static/app.js,,F1,"Crumbs show current folder segments and navigate on click; edit toggle swaps crumbs/input; icon rescan triggers rescan; paste-type-Enter path still works",""
F3,Done,High,Design v3,"Folder groups: subfolder-first grouped list with collapse + group selection","Group visibleFiles() by relative dir (subfolders A-Z first root last); render fgroup headers (folder glyph + name + count + fcaret) with collapse (collapsedDirs set survives filtering) and header-click toggles whole-folder selection; keyboard Enter/Space on header; grid and list modes both grouped",desktop-app/static/app.js; desktop-app/static/templates.js; desktop-app/static/styles.css,,F1,"Nested scan renders groups in design order; caret collapses group; header click selects/deselects all files in that folder; counts correct","Scanner already returns absolute paths — grouping is frontend-only over scanRoot-relative dirs"
F4,Done,High,Design v3,"Settings panel: compress-bar + advanced bands restructure","Move quality+format into compress-bar (cb-quality range + seg-sm format + Advanced settingsFoot toggle + cb-right Delete+Compress); move engine/threads into adv-grid adv-groups with seg-details; options become options-inline; resize/rename become adv-group bands with band-fields is-off/is-disabled states. settingsOpen state drives panel is-open; sync/read/persist logic unchanged",desktop-app/static/index.html; desktop-app/static/styles.css; desktop-app/static/app.js,,F1,"Advanced toggle shows/hides bands with height morph; disabled bands dim fields and disable inputs; all settings still persist via saveSettings debounce",""
F5,Done,Medium,Design v3,"Delete selected: semantics + list removal with selection/results remap","Decide semantics (default list-only removal like design demo; on-disk delete only with explicit confirm — document choice); implement deleteIndices (remap selected set + resultsByPath to surviving rows); wire deleteSelBtn disabled when 0 selected or compressing; single-file delete reuses same path for ctx menu",desktop-app/static/app.js; desktop-app/static/index.html,,F1,"Delete removes rows updates counts and footers; selection and compressed results remap to survivors; status confirms N deleted; blocked while compressing",""
F6,Done,Medium,Design v3,"File context menu: Open / Reveal / Compress / Copy path / Delete","Port ctx-menu overlay: right-click on row/gcard selects file if needed and opens positioned menu in viewport; Esc blur scroll closes; actions wire to open-file default viewer + reveal-in-Explorer + compress-single + clipboard copy + deleteIndices single; keyboard focus to first item on open",desktop-app/static/app.js; desktop-app/static/index.html; desktop-app/static/styles.css,,F3;F5,"Right-click opens menu near cursor without overflow; each action works or posts a status message; no menu on empty list area","May need small bindings additions (openFile revealFile) — add only if Explorer-only openFolder is insufficient"
F7,Done,High,Design v3,"Folder browser dialog: SUPERSEDED — custom picker was demo-only, removed (see F12)","Was: fb-overlay dialog backed by listDrives/listDir bindings. Removed per user decision: the design's folder browser is demo-only; Browse uses the native pickFolder (PowerShell FolderBrowserDialog) again; listDrives/listDir/quickPlaces bindings + DirEntry schemas deleted; openFile/revealPath kept for the F6 context menu",desktop-app/bindings.ts; desktop-app/types.ts; desktop-app/static/index.html; desktop-app/static/styles.css; desktop-app/static/app.js,,F2,"Custom picker code fully removed; native Browse path works; no fb-* references remain; deno check clean","Superseded — see F12; do not reimplement without user ask"
F8,Done,Medium,Design v3,"Theme toggle: light / dark / auto in statusbar","Port theme-toggle group (Light Dark Auto buttons) setting html data-theme; auto follows prefers-color-scheme + listens for changes; persist choice (settings file extension or localStorage — document choice); audit dark tokens for new components (fb-dialog rows source-card compressed states)",desktop-app/static/index.html; desktop-app/static/styles.css; desktop-app/static/app.js,,F1,"Toggle switches theme immediately; Auto tracks OS; choice survives reload; no unstyled flash on boot","Dark Primer tokens already exist for core components — audit only the newly ported ones"
F9,Done,Low,Design v3,"Statusbar + footer parity: engine line saved pill summary states","Update statusbar to design shape (statusbar-info with Compressy + engine + statusText; statusbar-right with theme-toggle); keep vips 8.18 engine label (replaces design mozjpeg/oxipng placeholder per implementation plan); footer leftFoot path format + footer-saved pill + compressSummary is-done + stat-saved has-saved pulse on new results",desktop-app/static/index.html; desktop-app/static/styles.css; desktop-app/static/app.js,,F1;F8,"Statusbar shows Compressy vips 8.18 version and live status; saved pill turns success-green with pulse after compress; footer summary matches design math (avg peak saved)",""
F10,Done,Medium,Design v3,"Styles + templates parity: port remaining design CSS and align row/card markup","Port ctx-menu fgroup compress-bar adv-grid adv-group options-inline theme-toggle footer-actions float-tag rules (fb-overlay excluded — demo-only, removed per F12); keep real-image thumb rules (object-fit cover + thumb tint borders) and compressed-dot/pill + r-renamed badge; verify 1600/900/720/560 breakpoints; trim demo-only bits; design file untouched",desktop-app/static/styles.css; desktop-app/static/templates.js,,F1;F3;F6;F8,"Visual parity with design at desktop width; responsive breakpoints hold; list and grid rows/cards render compressed renamed resized states identically to design semantics","Real /thumb WebP previews kept — format-tinted SVG thumbs from the demo remain only as the img fallback background"
F11,Pending,High,Design v3,"Verification: full dev smoke + deno test + build check","Smoke in deno task dev: collapse crumbs groups delete ctx-menu native-Browse theme sort grid/list compress-with-rename (badge + on-disk prefix-NNNN names) CSV-export open-folder cancel persistence; deno test green; no console errors; optional build outputs intact",desktop-app/**,,F1;F2;F3;F4;F5;F6;F8;F9;F10;F12,"All acceptance criteria above met; deno test passes; tasks.csv checked off","Phase gate"
G1,Done,High,Fixes,"View-toggle both-highlighted when list selected","Remove hardcoded is-active from the grid view button in index.html (Alpine :class binding is the single source of truth; static + bound classes merged, lighting both)",desktop-app/static/index.html,,F1,"List selected highlights list only; grid selected highlights grid only; aria-pressed stays correct via binding","One-line fix"
G2,Done,Low,Fixes,"Square 1/1 image thumbnails","Change .gthumb + .g-thumb-wrap aspect-ratio from 4/3 to 1/1 (object-fit:cover already crops); real /thumb previews fill the square",desktop-app/static/styles.css,,F10,"Grid cards render square previews; no distortion (cover-crop)",""
G3,Done,High,Fixes,"Persist sort order across reloads","Add sortBy enum to AppSettingsSchema (.default name-asc so old settings files migrate), DEFAULT_SETTINGS (backend + frontend), init restore, readSettingsFromDom write-back, onSortChange render+persist; invalid stored values fall back to defaults via existing partial-parse path; settings test added",desktop-app/types.ts; desktop-app/settings.ts; desktop-app/static/app.js; desktop-app/static/index.html; desktop-app/tests/settings_test.ts,,E1;B2,"Reload restores last sort; changing sort persists (debounced saveSettings); old settings.json loads with name-asc; new settings test passes","View mode intentionally not persisted (scope: sort only)"
G4,Done,High,Fixes,"Overwrite always backs up originals (any format); backup/ filtered from scan","worker.ts: when overwrite is on and output is smaller, original moves to <folder>/backup/ (copy+remove) before writing output — same-format in place, conversions/renames to their new paths; no move when output is not smaller. scanner.ts: skip directories named backup (case-insensitive) so originals never resurface as sources. Tests: overwrite+convert backup test + backup-filter scan test (vips-free hand-built PNGs)",desktop-app/worker.ts; desktop-app/scanner.ts; desktop-app/tests/compressor_test.ts; desktop-app/tests/scanner_test.ts,,B3;B4,"Same-format overwrite unchanged (existing test); convert+overwrite lands output beside original with original in backup/; rescan after compress shows no backup/ files; new tests pass","Scanning a root folder literally named backup returns empty (documented edge)"
F12,Done,High,Design v3,"Remove custom folder picker (demo-only): restore native Browse path","Delete fb-overlay markup (index.html), fbOpen/fbClose/fbGo/fbRender/fbMoveSel/fbConfirm + fb state + fb key/mouse wiring (app.js), listDrives/quickPlaces/listDir + DirEntry/ListDirResult schemas (bindings.ts/types.ts), all fb-* CSS incl. dark overrides (styles.css); browse() back to native pickFolder only; keep openFile/revealPath for F6 ctx menu; update F7/F10/F11 rows",desktop-app/bindings.ts; desktop-app/types.ts; desktop-app/static/index.html; desktop-app/static/styles.css; desktop-app/static/app.js; plan/tasks.csv,,F7,"No fb-* references in code; deno check clean; native Browse works; ctx-menu Open/Reveal unaffected","User decision: design folder browser was demo-only"
