ID,Status,Priority,Phase,Title,Description,Files,Dependencies,Acceptance Criteria,Notes
D4,Done,High,Landing page,Download link resolution,All CTAs resolve to https://assets.compressy.app/{version}/Compressy-setup.exe via ExpandCtx at expansion time; Hono GET /download 302 uses same config value,website/src/expander.ts; website/worker/app.ts,A2; C8,"Landing CTAs point to /download (config-driven, survives KV cache across version bumps); curl /download 302s to versioned R2 URL",Amended: /download indirection chosen over baked R2 URLs — cached pages stay valid across version bumps since redirect resolves config at request time
E1,Todo,High,Verify,Runtime completeness check,bunx wrangler dev: curl / shows expanded HTML with zero <e- tags; /index.html returns expanded output (raw-leak guard); /css/site.css /vendor/htmx.min.js /js/app.js /favicon.ico served from free asset path; sitemap.xml lists exactly public/*.html slugs; each resolves 200,website/public/,B6; D1,All checks pass,Automatable portion lives in bun test where cheap
E2,Todo,High,Verify,KV cache verification,First request to / expands; second identical request byte-identical and served from cache; entry visible in wrangler-dev KV inspector keyed {rev}:{slug}:{hash}; editing a page source invalidates only that page's entries,website/worker/app.ts,B5,Cache hit path confirmed; invalidation scoped per-page,Response timing or inspector both acceptable evidence
E3,Todo,High,Verify,Visual parity pass,Side-by-side vs design/landing.html at 1440/1024/390 widths; fix drift in element CSS (gallery inline styles are usual source),website/public/css/site.css,E1,No visible divergence at three breakpoints,Compare per section; tokens already verbatim
E4,Todo,Medium,Verify,Enhancement + a11y check,Content complete with JS disabled; details accordion keyboard-operable; focus-visible rings intact; reduced-motion honored,website/public/,E1,View-source completeness confirmed; tab-through FAQ works; motion disabled under preference,Classless goal means crawlers see everything raw-expanded
E5,Todo,Low,Verify,Deploy runbook note,"Append deploy runbook (NOT executed): bunx wrangler deploy steps + CF account wiring (create real KV namespace + paste id into wrangler.jsonc, routes, R2 assets.compressy.app CORS for exe downloads)",plan/website-implementation.md,E1; E4,Runbook section appended; no deploy performed,Deploy explicitly out of scope per user decision
F1,Done,High,Downloads page,Releases data file,"public/data/releases.json with all 7 releases from design/downloads.html (v1.4.0 to v1.0.0): version/versionTag/date/kind/latest/notes{added,improved,fixed}/tags/assets[name,type,sizeLabel,sha256,shaShort,url] - R2 URLs per assets.compressy.app/{dashed-version}/ naming",website/public/data/releases.json,,JSON parses; shapes match e-releases mapper contract,Single source for downloads page + /download redirect
F2,Done,High,Downloads page,Data pipeline into expansion,site.config gains data:[releases]; worker preloads each /data/{name}.json via ASSETS binding once per isolate (memoized promise) and passes parsed map through ExpandContext.data so mappers read api.ctx.data.releases synchronously,website/src/site.config.json; website/worker/app.ts; website/src/expander.ts,A6; B2,downloads expansion sees parsed releases array; missing file degrades to empty array,Bun tests inject ctx.data directly
F3,Done,High,Downloads page,e-releases element,"Renders full release list from ctx.data.releases: first item featured unless latest=false (accent ring + Latest/Stable pills + warm head), rest compact; notes grouped Added/Improved/Fixed; assets with icon/name/size/type/SHA-short/direct R2 download link/copy-sha; foot with tag + compare-to-previous; data-tags for filtering",website/src/elements/e-releases.html; website/src/elements/index.ts; website/public/css/site.css,F1; F2,Fixture with 2 releases renders featured+compact per design classes,SVG asset icons embedded as trusted strings from mapper
F4,Done,High,Downloads page,e-release-hero element,Downloads hero: eyebrow/title attrs + lead slot; latest version drives primary button label (Download vX for Windows) and meta row (vX - date / Win10-11 64-bit / Signed-Offline); right jump-card: N releases counter + version pill links (limit attr) + Latest pill + SHA/system-requirements note,website/src/elements/e-release-hero.html; website/src/elements/index.ts; website/public/css/site.css,F2; F3,Hero renders latest-driven labels and jump pills per design,Ties hero content to releases data - no hardcoded versions
F5,Done,High,Downloads page,Downloads page + routing,"Author public/downloads.html fully classless (release-hero, filter, e-releases, system requirements via e-bento/e-cell + e-points checks, cta band); add downloads slug to manifest + site.nav Downloads entry (/downloads/); layout computes active nav flag (is-active + aria-current)",website/public/downloads.html; website/src/manifest.ts; website/src/site.config.json; website/src/layouts/base.html; website/worker/app.ts,F3; F4,curl /downloads/ renders releases; sitemap includes it; nav shows active state,Classless guard test extends coverage automatically
F6,Done,High,Downloads page,Data-driven /download redirect,Worker GET /download resolves latest release installer url from releases.json (falls back to legacy config exePattern when data missing); index.html CTAs unchanged (still /download indirection),website/worker/app.ts; website/public/data/releases.json,F1; F2,curl /download 302s to https://assets.compressy.app/1-4-0/Compressy-Setup-1.4.0.exe,Fixes stale hardcoded exePattern mismatch with real asset naming
F7,Done,Medium,Downloads page,Release filter UI,e-release-filter element (search input + All/Added/Improved/Fixed chips); vanilla delegated handlers in public/js/app.js: text search across release articles AND tag chips filter by data-tags (AND-combined); chip is-on exclusive styling,website/src/elements/e-release-filter.html; website/public/js/app.js; website/public/css/site.css,F3,Typing in search narrows visible releases; clicking Improved shows only tagged ones,No Alpine dependency - same delegation pattern as download toast
F8,Done,High,Downloads page,Tests + cache bump,"Fixtures: e-releases (featured/compact/notes-groups/assets/foot), e-release-hero latest labels, filter element; manifest sync now includes downloads; REGISTRY_VERSION bump (mapper changes); bun test green; wrangler smoke: /downloads/ renders 7 releases, /download redirect updated",website/test/elements.test.ts; website/src/elements/registry.ts,F3; F4; F5; F6; F7,bun test green; live smoke passes,Closes downloads-page scope
G02,Done,High,SEO Pages,SEO page: /compress-image,"/compress-image — Compress Image Online. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-image.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G03,Done,High,SEO Pages,SEO page: /compress-jpg,"/compress-jpg — Compress JPG Images. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-jpg.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G04,Done,High,SEO Pages,SEO page: /compress-jpeg,"/compress-jpeg — Compress JPEG Images. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-jpeg.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G05,Done,High,SEO Pages,SEO page: /compress-png,"/compress-png — Compress PNG Images. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-png.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G06,Done,High,SEO Pages,SEO page: /compress-webp,"/compress-webp — Compress WebP Images. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-webp.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G07,Done,High,SEO Pages,SEO page: /compress-avif,"/compress-avif — Compress AVIF Images. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-avif.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G08,Done,High,SEO Pages,SEO page: /reduce-image-size,"/reduce-image-size — Reduce Image File Size. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/reduce-image-size.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G09,Done,High,SEO Pages,SEO page: /image-optimizer,"/image-optimizer — Image Optimizer. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/image-optimizer.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G10,Done,High,SEO Pages,SEO page: /photo-compressor,"/photo-compressor — Photo Compressor. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/photo-compressor.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G11,Done,High,SEO Pages,SEO page: /compress-image-to-50kb,"/compress-image-to-50kb — Compress Image to 50KB — target size. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-image-to-50kb.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G12,Done,High,SEO Pages,SEO page: /compress-image-to-100kb,"/compress-image-to-100kb — Compress Image to 100KB — target size. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-image-to-100kb.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G13,Done,High,SEO Pages,SEO page: /compress-image-to-200kb,"/compress-image-to-200kb — Compress Image to 200KB — target size. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-image-to-200kb.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G14,Done,High,SEO Pages,SEO page: /compress-image-to-500kb,"/compress-image-to-500kb — Compress Image to 500KB — target size. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-image-to-500kb.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G15,Done,High,SEO Pages,SEO page: /compress-image-to-1mb,"/compress-image-to-1mb — Compress Image to 1MB — target size. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/compress-image-to-1mb.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G16,Done,High,SEO Pages,SEO page: /resize-image,"/resize-image — Resize Image. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/resize-image.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G17,Done,High,SEO Pages,SEO page: /jpg-to-webp,"/jpg-to-webp — JPG to WebP — format conversion. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/jpg-to-webp.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
G18,Done,High,SEO Pages,SEO page: /png-to-webp,"/png-to-webp — PNG to WebP — format conversion. Build classless page using website/src/elements/ (no class=/style= in authored HTML); use e-hero, e-cards, e-stats, e-steps, e-faq, e-table, e-cta, e-content, e-section etc. as needed; unique copy per intent; tool/workflow near top where relevant.",website/public/png-to-webp.html; website/src/manifest.ts,B6; C11,"Page authored classless (zero class=/style=, verified by classless-guard test); expands via worker with zero <e- tags; sitemap includes URL; internal links to related convert/resize/guides/windows per internal-linking strategy; title/description unique and user-written","All pages must be built classless using our website/src/elements/ — structure via <e-*> elements, styling in public/css/site.css, no inline styles. Follow plan/website-pages.md SEO rules: one intent per URL, distinct copy, no thin keyword-swapped templates."
